id,lat,lon,elevation
371,48.53493,9.068521,397.0
372,48.53522,9.06881,398.0
373,48.53521,9.06881,398.0
374,48.53523,9.06883,398.0
375,48.535007,9.06892,398.0
376,48.53499,9.06896,398.0
377,48.53524,9.06895,399.0
378,48.53571,9.06891,401.0
379,48.535786,9.06893,402.0
380,48.53578,9.06893,402.0
381,48.53581,9.06894,402.0
382,48.53574,9.06906,402.0
383,48.535522,9.06917,401.0
384,48.53544,9.06917,401.0
385,48.535007,9.06922,399.0
386,48.535007,9.06918,399.0
387,48.535007,9.06917,399.0
388,48.534977,9.070319,405.0
389,48.534977,9.070641,406.0
390,48.53504,9.07068,406.0
391,48.53515,9.07085,405.0
392,48.53515,9.07117,404.0
393,48.53514,9.07179,406.0
394,48.53493,9.07178,405.0
395,48.53481,9.07183,406.0
396,48.534767,9.07197,406.0
