4,17,8,9.344
4,18,8,13.500
4,19,8,19.250
4,20,8,25.313
4,21,8,29.688
4,22,8,33.000
4,23,8,36.125
4,24,8,39.250
4,25,8,40.641
4,26,8,41.235
4,27,56,0.000
5,1,56,0.000
5,2,32,0.000
5,3,24,0.000
5,4,16,0.000
5,5,16,0.000
5,6,24,0.000
5,7,32,0.000
5,8,32,0.000
5,9,32,0.000
5,10,24,0.000
5,11,24,0.000
5,12,16,0.000
5,13,8,0.016
5,14,8,0.243
5,15,8,1.539
5,16,8,5.196
5,17,8,10.383
5,18,8,14.250
5,19,8,18.813
5,20,8,24.672
5,21,8,29.156
5,22,8,32.547
5,23,8,35.688
5,24,8,38.578
5,25,8,40.098
5,26,8,40.825
5,27,56,0.000
6,1,56,0.000
6,2,32,0.000
6,3,24,0.000
6,4,16,0.000
6,5,16,0.000
6,6,24,0.000
6,7,32,0.000
6,8,32,0.000
6,9,32,0.000
6,10,24,0.000
6,11,24,0.000
6,12,16,0.000
6,13,8,0.077
6,14,8,0.567
6,15,8,2.453
6,16,8,6.493
6,17,8,11.350
6,18,8,15.125
6,19,8,18.610
6,20,8,23.926
6,21,8,28.504
6,22,8,32.059
6,23,8,35.129
6,24,8,37.813
6,25,8,39.490
6,26,8,40.410
6,27,56,0.000
7,1,56,0.000
7,2,32,0.000
7,3,24,0.000
7,4,16,0.000
7,5,16,0.000
7,6,24,0.000
7,7,32,0.000
7,8,32,0.000
7,9,32,0.000
7,10,24,0.000
7,11,24,0.000
7,12,16,0.000
7,13,8,0.219
7,14,8,1.039
7,15,8,3.463
7,16,8,7.707
7,17,8,12.294
7,18,8,15.996
7,19,8,18.602
7,20,8,23.191
7,21,8,27.774
7,22,8,31.463
7,23,8,34.454
7,24,8,37.007
7,25,8,38.840
7,26,8,39.960
7,27,56,0.000
8,1,56,0.000
8,2,32,0.000
8,3,24,0.000
8,4,16,0.000
8,5,16,0.000
8,6,24,0.000
8,7,32,0.000
8,8,32,0.000
8,9,32,0.000
8,10,24,0.000
8,11,24,0.000
8,12,16,0.000
8,13,8,0.479
8,14,8,1.645
8,15,8,4.524
8,16,8,8.854
8,17,8,13.220
8,18,8,16.648
8,19,8,18.895
8,20,8,22.548
8,21,8,26.982
8,22,8,30.733
8,23,8,33.685
8,24,8,36.186
8,25,8,38.156
8,26,8,39.457
8,27,56,0.000
9,1,56,0.000
9,2,32,0.000
9,3,24,0.000
9,4,16,0.000
9,5,16,0.000
9,6,24,0.000
9,7,32,0.000
9,8,32,0.000
9,9,32,0.000
9,10,24,0.000
9,11,24,0.000
9,12,16,0.000
9,13,8,0.890
9,14,8,2.365
9,15,8,5.607
9,16,8,9.946
9,17,8,14.077
9,18,8,17.210
9,19,8,19.294
9,20,8,22.063
9,21,8,26.146
9,22,8,29.881
9,23,8,32.845
9,24,8,35.356
9,25,8,37.439
9,26,8,38.895
9,27,56,0.000
10,1,56,0.000
10,2,32,0.000
10,3,24,0.000
10,4,16,0.000
10,5,16,0.000
10,6,24,0.000
10,7,32,0.000
10,8,32,0.000
10,9,32,0.000
10,10,24,0.000
